INCHIKEY,name,orig_target_ann,target_count,targets,DTXSID
LXCFILQKKLGQFO-UHFFFAOYSA-N,Methyl 4-hydroxybenzoate,Others,,,
SRBFZHDQGSBBOR-UHFFFAOYSA-N,L(+)-Arabinose,Others,,,
QIVBCDIJIAJPQS-UHFFFAOYSA-N,L-Tryptophan,Others,2,"CA1, CA2","DTXSID5021419, DTXSID0046989"
HDTRYLNUVZCQOY-UHFFFAOYSA-N,D-(+)-Trehalose dihydrate,Others,,,
FWKQNCXZGNBPFD-UHFFFAOYSA-N,Guaiazulene,Others,,,
AGBQKNBQESQNJD-UHFFFAOYSA-N,Thioctic acid,Others,,,
BAPRUDZDYCKSOQ-UHFFFAOYSA-N,Oxaceprol,Immunology & Inflammation related,,,
AGBQKNBQESQNJD-UHFFFAOYSA-N,(+)-α-Lipoic acid,Others,,,
YEHCICAEULNIGD-UHFFFAOYSA-N,Pergolide Mesylate,Dopamine Receptor,3,"DRD1, DRD3, DRD2",DTXSID2023438
ONIQOQHATWINJY-UHFFFAOYSA-N,Cabozantinib malate (XL184),"TAM Receptor,VEGFR",2,"MET, KDR",DTXSID10233968
MFFMDFFZMYYVKS-UHFFFAOYSA-N,Sitagliptin phosphate monohydrate,DPP-4,4,"DPP9, DPP8, DPP4, DPP7",DTXSID70197572
SMEROWZSTRWXGI-UHFFFAOYSA-N,Lithocholic acid,FXR,4,"GPBAR1, NR1I2, VDR, NR1H4",DTXSID6020779
AEUTYOVWOVBAKS-UHFFFAOYSA-N,Ethambutol 2HCl,Anti-infection,,,
XDRYMKDFEDOLFX-UHFFFAOYSA-N,Pentamidine isethionate,phosphatase,,,
HIANJWSAHKJQTH-UHFFFAOYSA-N,Pemirolast potassium,Histamine Receptor,,,
PBAPPPCECJKMCM-UHFFFAOYSA-N,Mirabegron,Adrenergic Receptor,,,
GOEMGAFJFRBGGG-UHFFFAOYSA-N,Acebutolol HCl,Adrenergic Receptor,,,
LSNWBKACGXCGAJ-UHFFFAOYSA-N,Ampiroxicam,COX,,,
JAUOIFJMECXRGI-UHFFFAOYSA-N,Desloratadine,Histamine Receptor,1,HRH1,DTXSID1044196
QKNZASPUMVFSDA-UHFFFAOYSA-N,Sodium Monofluorophosphate,phosphatase,,,
RKUNBYITZUJHSG-UHFFFAOYSA-N,Hyoscyamine,AChR,5,"CHRM3, CHRM2, CHRM5, CHRM1, CHRM4",DTXSID4020113
ZCOAKPWIZHZTPH-UHFFFAOYSA-N,Ouabain,Sodium Channel,,,
HTKFORQRBXIQHD-UHFFFAOYSA-N,Allylthiourea,Others,,,
QFJIQUOMKJNYLI-UHFFFAOYSA-N,Sennoside B,PDGFR,,,
WEAJZXNPAWBCOA-UHFFFAOYSA-N,Avanafil,PDE,,,
UJIDKYTZIQTXPM-UHFFFAOYSA-N,Sodium Picosulfate,Others,,,
MIQPIUSUKVNLNT-UHFFFAOYSA-N,Tolcapone,Transferase,1,COMT,DTXSID3023685
DBABZHXKTCFAPX-UHFFFAOYSA-N,Probenecid,TRPV,3,"SLC22A6, SLC22A8, SLC22A11",DTXSID9021188
MFDFERRIHVXMIY-UHFFFAOYSA-N,Procaine HCl,"NMDAR,Sodium Channel,AChR",,,
WKWOJBUWWZTUQV-UHFFFAOYSA-N,Homatropine Methylbromide,AChR,,,
ZTVIKZXZYLEVOL-UHFFFAOYSA-N,Homatropine Bromide,AChR,,,
ZQDWXGKKHFNSQK-UHFFFAOYSA-N,Hydroxyzine 2HCl,Histamine Receptor,,,
SPIUTQOUKAMGCX-UHFFFAOYSA-N,Flavoxate HCl,AChR,,,
OMERPEOHSFCCJI-UHFFFAOYSA-N,Dexamethasone Sodium Phosphate,"IL Receptor,Autophagy,COX",,,
ASMXXROZKSBQIH-UHFFFAOYSA-N,Aclidinium Bromide,AChR,,,
QFJIQUOMKJNYLI-UHFFFAOYSA-N,Sennoside A,MAO,,,
LCTZPQRFOZKZNK-UHFFFAOYSA-N,Diphemanil Methylsulfate,AChR,,,
MECHNRXZTMCUDQ-UHFFFAOYSA-N,Vitamin D2,DNA/RNA Synthesis,1,VDR,DTXSID5020233
XFDJYSQDBULQSI-UHFFFAOYSA-N,Doxapram HCl,Potassium Channel,,,
PUFQVTATUTYEAL-UHFFFAOYSA-N,Dibucaine HCl,Sodium Channel,,,
FLOSMHQXBMRNHR-UHFFFAOYSA-N,Methazolamide,Carbonic Anhydrase,1,CA1,DTXSID1023281
QGQUHXSBTSDAML-UHFFFAOYSA-N,Norethindrone,Others,1,PGR,DTXSID9023380
QQBDLJCYGRGAKP-UHFFFAOYSA-N,Olsalazine Sodium,Anti-infection,,,
GPXLMGHLHQJAGZ-UHFFFAOYSA-N,Nafcillin Sodium,Anti-infection,,,
BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetrahydrozoline HCl,Adrenergic Receptor,,,
IJHNSHDBIRRJRN-UHFFFAOYSA-N,Pheniramine Maleate,Histamine Receptor,1,HRH1,DTXSID0023454
KHOITXIGCFIULA-UHFFFAOYSA-N,Bisacodyl,Others,,,
CFOYWRHIYXMDOT-UHFFFAOYSA-N,Carbimazole,Others,1,TPO,DTXSID9022736
LNPDTQAFDNKSHK-UHFFFAOYSA-N,Valdecoxib,COX,4,"CA9, PTGS2, CA2, CA1",DTXSID6044226
WPVFJKSGQUFQAP-UHFFFAOYSA-N,Valganciclovir HCl,Anti-infection,,,
BLXXJMDCKKHMKV-UHFFFAOYSA-N,Nabumetone,COX,1,PTGS2,DTXSID4045472
CIDUJQMULVCIBT-UHFFFAOYSA-N,Netilmicin Sulfate,Anti-infection,,,
VGKDLMBJGBXTGI-UHFFFAOYSA-N,Sertraline HCl,5-HT Receptor,2,"SLC6A4, SLC6A3",DTXSID6023577
RRQQBPFUONLKTL-UHFFFAOYSA-N,Spironolactone,Androgen Receptor,2,"NR3C2, AR",DTXSID6034186
STZYTFJPGGDRJD-UHFFFAOYSA-N,Retapamulin,Anti-infection,,,
ZKMNUMMKYBVTFN-UHFFFAOYSA-N,Ropivacaine HCl,Sodium Channel,,,
XLYOFNOQVPJJNP-UHFFFAOYSA-N,Sodium Nitroprusside Dihydrate,Others,,,
NSYZCCDSJNWWJL-UHFFFAOYSA-N,Erythromycin Ethylsuccinate,Anti-infection,,,
LEBVLXFERQHONN-UHFFFAOYSA-N,Levobupivacaine HCl,Sodium Channel,,,
PQFRTXSWDXZRRS-UHFFFAOYSA-N,Ronidazole,Anti-infection,,,
QYSXJUFSXHHAJI-UHFFFAOYSA-N,cholecalciferol (Vitamin D3),Vitamin,1,VDR,DTXSID6026294
WSEQXVZVJXJVFP-UHFFFAOYSA-N,Escitalopram Oxalate,5-HT Receptor,1,SLC6A4,"DTXSID8022826, DTXSID8048440"
WDZVGELJXXEGPV-UHFFFAOYSA-N,Guanabenz Acetate,Adrenergic Receptor,1,ADRA2A,DTXSID6045666
TZXKOCQBRNJULO-UHFFFAOYSA-N,Deferiprone,Others,,,
HJLSLZFTEKNLFI-UHFFFAOYSA-N,Tinidazole,Anti-infection,,,
ZRALSGWEFCBTJO-UHFFFAOYSA-N,Guanidine HCl,Others,,,
MTCUAOILFDZKCO-UHFFFAOYSA-N,Decamethonium Bromide,AChR,,,
IOVCWXUNBOPUCH-UHFFFAOYSA-N,Sodium Nitrite,ROS,2,"CA1, CA2","DTXSID7064813, DTXSID0020941"
,Zinc Pyrithione,"Proton Pump,Anti-infection",,,
AQHHHDLHHXJYJD-UHFFFAOYSA-N,Propranolol HCl,Adrenergic Receptor,3,"ADRB1, ADRB2, ADRB3",DTXSID6023525
NWVVVBRKAWDGAB-UHFFFAOYSA-N,Mequinol,Others,,,
HYYBABOKPJLUIN-UHFFFAOYSA-N,Mefenamic Acid,COX,1,PTGS2,DTXSID5023243
OEKWJQXRCDYSHL-UHFFFAOYSA-N,Ticagrelor,P2 Receptor,,,
FNYLWPVRPXGIIP-UHFFFAOYSA-N,Triamterene,Sodium Channel,,,
SKIVFJLNDNKQPD-UHFFFAOYSA-N,Sulfacetamide Sodium,"Anti-infection,Autophagy",,,
QGNJRVVDBSJHIZ-UHFFFAOYSA-N,Vitamin A Acetate,Vitamin,,,
JQSAYKKFZOSZGJ-UHFFFAOYSA-N,Lomerizine 2HCl,Calcium Channel,,,
NWIUTZDMDHAVTP-UHFFFAOYSA-N,Levobetaxolol HCl,Adrenergic Receptor,1,ADRB1,DTXSID2022674
XJGVXQDUIWGIRW-UHFFFAOYSA-N,Loxapine Succinate,"5-HT Receptor,Dopamine Receptor",,,
FWISRXLAJVUSOL-UHFFFAOYSA-N,Flumethasone,Glucocorticoid Receptor,,,
DTALYPLHSSTQEU-UHFFFAOYSA-N,Halobetasol Propionate,Phospholipase (e.g. PLA),,,
UYNVMODNBIQBMV-UHFFFAOYSA-N,Ifenprodil Tartrate,NMDAR,1,GRIN2B,DTXSID2045656
DQKXQSGTHWVTAD-UHFFFAOYSA-N,Pramoxine HCl,Others,,,
KRKNYBCHXYNGOX-UHFFFAOYSA-N,Bismuth Subcitrate Potassium,Anti-infection,,,
HLFSDGLLUJUHTE-UHFFFAOYSA-N,Tetramisole HCl,Anti-infection,,,
NMGOGMOURXLOOY-UHFFFAOYSA-N,Difluprednate,Others,,,
RMEDXOLNCUSCGS-UHFFFAOYSA-N,Droperidol,Dopamine Receptor,1,KCNH2,DTXSID6022973
SRFSUDHTQQJJIN-UHFFFAOYSA-N,Halcinonide,Immunology & Inflammation related,,,
AQNDDEOPVVGCPG-UHFFFAOYSA-N,Esmolol HCl,Adrenergic Receptor,,,
FZNCGRZWXLXZSZ-UHFFFAOYSA-N,Voglibose,Others,2,"SI, GAA",DTXSID2021442
OLWGWPVIWQZCDJ-UHFFFAOYSA-N,Eprosartan Mesylate,RAAS,1,AGTR1,DTXSID0022989
XNYZHCFCZNMTFY-UHFFFAOYSA-N,Diminazene Aceturate,Others,,,
CBVZKAGLPGRMNW-UHFFFAOYSA-N,Closantel Sodium,Anti-infection,,,
JMPFSEBWVLAJKM-UHFFFAOYSA-N,Closantel,Anti-infection,,,
LWOJLHGUZZEVRZ-UHFFFAOYSA-N,Clofazimine,Phospholipase (e.g. PLA),,,
SMDQENAKEXGVHN-UHFFFAOYSA-N,Clodronate Disodium,Others,,,
UYIFTLBWAOGQBI-UHFFFAOYSA-N,Estradiol Benzoate,Estrogen/progestogen Receptor,,,
YFAGHNZHGGCZAX-UHFFFAOYSA-N,Dicloxacillin Sodium,Anti-infection,,,
KYYIDSXMWOZKMP-UHFFFAOYSA-N,Desvenlafaxine Succinate,"Adrenergic Receptor,5-HT Receptor",1,SLC6A4,DTXSID40869118
KYYIDSXMWOZKMP-UHFFFAOYSA-N,Desvenlafaxine,"5-HT Receptor,Adrenergic Receptor",1,SLC6A4,DTXSID40869118
NQPDXQQQCQDHHW-UHFFFAOYSA-N,Triclabendazole,Microtubule Associated,,,
SANOUVWGPVYVAV-UHFFFAOYSA-N,Isovaleramide,Dehydrogenase,,,
NTYJJOPFIAHURM-UHFFFAOYSA-N,Histamine Phosphate,Histamine Receptor,6,"CA2, HRH1, HRH3, HRH4, HRH2, CA1",DTXSID4023125
NTYJJOPFIAHURM-UHFFFAOYSA-N,Histamine 2HCl,Histamine Receptor,6,"CA2, HRH1, HRH3, HRH4, HRH2, CA1",DTXSID4023125
AFNXATANNDIXLG-UHFFFAOYSA-N,Sulconazole Nitrate,Anti-infection,,,
AXOIZCJOOAYSMI-UHFFFAOYSA-N,Succinylcholine Chloride Dihydrate,AChR,,,
JTSDBFGMPLKDCD-UHFFFAOYSA-N,Tilmicosin,Anti-infection,,,
BLJRIMJGRPQVNF-UHFFFAOYSA-N,Timolol Maleate,Adrenergic Receptor,1,ADRB2,DTXSID4023674
JIVZKJJQOZQXQB-UHFFFAOYSA-N,Tolazoline HCl,Adrenergic Receptor,,,
OBKXEAXTFZPCHS-UHFFFAOYSA-N,Sodium Phenylbutyrate,HDAC,,,
VYGQUTWHTHXGQB-UHFFFAOYSA-N,Retinyl (Vitamin A) Palmitate,Vitamin,,,
XWTYSIMOBUGWOL-UHFFFAOYSA-N,Terbutaline Sulfate,Adrenergic Receptor,1,ADRB2,DTXSID7021310
PTVWPYVOOKLBCG-UHFFFAOYSA-N,Levodropropizine,Histamine Receptor,,,
SSMSBSWKLKKXGG-UHFFFAOYSA-N,Clorprenaline HCl,Adrenergic Receptor,,,
PUXBGTOOZJQSKH-UHFFFAOYSA-N,Carprofen,COX,1,PTGS2,DTXSID1045871
BSHWLCACYCVCJE-UHFFFAOYSA-N,Eprazinone 2HCl,Others,,,
PTVWPYVOOKLBCG-UHFFFAOYSA-N,Dropropizine,Others,,,
ZDPIZLCVJAAHHR-UHFFFAOYSA-N,Clopidol,Anti-infection,,,
CFJMRBQWBDQYMK-UHFFFAOYSA-N,Pentoxyverine Citrate,AChR,,,
IPZFPROOBOUEIG-UHFFFAOYSA-N,Amprolium HCl,Vitamin,,,
MQTOSJVFKKJCRP-UHFFFAOYSA-N,Azithromycin Dihydrate,Anti-infection,,,
AVKUERGKIZMTKX-UHFFFAOYSA-N,Ampicillin Trihydrate,Anti-infection,,,
SOYCMDCMZDHQFP-UHFFFAOYSA-N,Amfenac Sodium Monohydrate,COX,,,
MDLAAYDRRZXJIF-UHFFFAOYSA-N,Penfluridol,Dopamine Receptor,,,
IKQCSJBQLWJEPU-UHFFFAOYSA-N,Ethamsylate,Immunology & Inflammation related,,,
TZFWDZFKRBELIQ-UHFFFAOYSA-N,Chlorzoxazone,P450 (e.g. CYP17),,,
RNPLSXLZRGPQCU-UHFFFAOYSA-N,Chlortetracycline HCl,Anti-infection,,,
WHTVZRBIWZFKQO-UHFFFAOYSA-N,Chloroquine Phosphate,"Autophagy,ATM/ATR",,,
VAAUVRVFOQPIGI-UHFFFAOYSA-N,Ceftriaxone Sodium Trihydrate,Anti-infection,,,
IIBYAHWJQTYFKB-UHFFFAOYSA-N,Bezafibrate,PPAR,3,"PPARA, PPARD, PPARG",DTXSID3029869
JGSARLDLIJGVTE-UHFFFAOYSA-N,Penicillin G Sodium,Anti-infection,2,"SLC22A8, SLC22A6",DTXSID5046934
WPYMKLBDIGXBTP-UHFFFAOYSA-N,Benzoic Acid,Others,,,
SIYLLGKDQZGJHK-UHFFFAOYSA-N,Benzethonium Chloride,AChR,,,
VXVNYCRICCVPTD-UHFFFAOYSA-N,Doxycycline Hyclate,MMP,,,
HWXIGFIVGWUZAO-UHFFFAOYSA-N,Doxofylline,PDE,,,
CNBGNNVCVSKAQZ-UHFFFAOYSA-N,Benzydamine HCl,Immunology & Inflammation related,,,
RKWGIWYCVPQPMF-UHFFFAOYSA-N,Chlorpropamide,Others,,,
LVQDKIWDGQRHTE-UHFFFAOYSA-N,Cyromazine,Anti-infection,,,
NABQBYDEMLGCEO-UHFFFAOYSA-N,Teriflunomide,"Dehydrogenase,Immunology & Inflammation related",,,
ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,Coumarin,Immunology & Inflammation related,4,"CA2, CA1, CA12, CA9",DTXSID7020348
OEYIOHPDSNJKLS-UHFFFAOYSA-N,Choline Chloride,AChR,2,"SLC22A1, SLC22A2",DTXSID8043789
BXWNKGSJHAJOGX-UHFFFAOYSA-N,1-Hexadecanol,Others,,,
BRBKOPJOKNSWSG-UHFFFAOYSA-N,Sulfaguanidine,Anti-infection,,,
LENZDBCJOHFCAS-UHFFFAOYSA-N,Trometamol,COX,,,
ISAKRJDGNUQOIC-UHFFFAOYSA-N,Uracil,Others,,,
OWEGWHBOCFMBLP-UHFFFAOYSA-N,Climbazole,Anti-infection,,,
YPBATNHYBCGSSN-UHFFFAOYSA-N,Mezlocillin Sodium,Anti-infection,,,
RGPDEAGGEXEMMM-UHFFFAOYSA-N,Nefopam HCl,Sodium Channel,,,
UXVSDVSUISWXKD-UHFFFAOYSA-N,Nicardipine HCl,Calcium Channel,1,ABCB1,DTXSID6023363
YCWSUKQGVSGXJO-UHFFFAOYSA-N,Nifuroxazide,STAT,,,
JNTOCHDNEULJHD-UHFFFAOYSA-N,Penciclovir,Anti-infection,,,
UOWZUVNAGUAEQC-UHFFFAOYSA-N,Tiratricol,Others,,,
YXUPZGKORWTXID-UHFFFAOYSA-N,Domiphen Bromide,Others,,,
WKEDVNSFRWHDNR-UHFFFAOYSA-N,Salicylanilide,"Reverse Transcriptase,Integrase,Anti-infection",,,
WVYADZUPLLSGPU-UHFFFAOYSA-N,Sasapyrine,Immunology & Inflammation related,,,
WZHCOOQXZCIUNC-UHFFFAOYSA-N,Cyclandelate,Others,,,
CWXYHOHYCJXYFQ-UHFFFAOYSA-N,Betamipron,Anti-infection,,,
GPTXWRGISTZRIO-UHFFFAOYSA-N,Chlorquinaldol,Anti-infection,,,
ZDASUJMDVPTNTF-UHFFFAOYSA-N,Broxyquinoline,Anti-infection,,,
CIKWKGFPFXJVGW-UHFFFAOYSA-N,Ethacridine lactate monohydrate,Anti-infection,,,
ORRZGUBHBVWWOP-UHFFFAOYSA-N,Bemegride,GABA Receptor,,,
FSKFPVLPFLJRQB-UHFFFAOYSA-N,Tolperisone HCl,Sodium Channel,,,
AYIRNRDRBQJXIF-UHFFFAOYSA-N,Florfenicol,Anti-infection,,,
SGTNSNPWRIOYBX-UHFFFAOYSA-N,Verapamil HCl,Calcium Channel,3,"KCNH2, ABCB1, CACNA1C",DTXSID9041152
YVQVOQKFMFRVGR-UHFFFAOYSA-N,Furaltadone HCl,Anti-infection,,,
KLDXJTOLSGUMSJ-UHFFFAOYSA-N,Isosorbide,Others,,,
UFULAYFCSOUIOV-UHFFFAOYSA-N,Cysteamine HCl,Others,,,
RVMGXWBCQGAWBR-UHFFFAOYSA-N,Chromocarb,Others,,,
CFKMVGJGLGKFKI-UHFFFAOYSA-N,Chlorocresol,Calcium Channel,,,
BLFLLBZGZJTVJG-UHFFFAOYSA-N,Benzocaine,Sodium Channel,,,
UCHDWCPVSPXUMX-UHFFFAOYSA-N,Montelukast Sodium,LTR,1,CYSLTR1,DTXSID9023334
ZBFDAUIVDSSISP-UHFFFAOYSA-N,Tenatoprazole,Proton Pump,,,
BAQAVOSOZGMPRM-UHFFFAOYSA-N,Sucralose,Others,,,
NSKGQURZWSPSBC-UHFFFAOYSA-N,Ribostamycin Sulfate,Anti-infection,,,
LLYYNOVSVPBRGV-UHFFFAOYSA-N,Valnemulin HCl,Anti-infection,,,
AUYYCJSJGJYCDS-UHFFFAOYSA-N,Liothyronine Sodium,Others,2,"THRA, THRB",DTXSID8023216
QWGDMFLQWFTERH-UHFFFAOYSA-N,Amoxapine,GlyT,,,
XTKDAFGWCDAMPY-UHFFFAOYSA-N,Azaperone,Dopamine Receptor,,,
WHQCHUCQKNIQEC-UHFFFAOYSA-N,Benzbromarone,P450 (e.g. CYP17),1,CYP2C9,DTXSID4022652
IVBHGBMCVLDMKU-UHFFFAOYSA-N,Piperacillin Sodium,Anti-infection,,,
AJLFOPYRIVGYMJ-UHFFFAOYSA-N,Mevastatin,HMG-CoA Reductase,1,HMGCR,DTXSID4040684
UNXHWFMMPAWVPI-UHFFFAOYSA-N,Erythritol,Others,,,
ZZZRUAITSXLWBH-UHFFFAOYSA-N,Minocycline HCl,Anti-infection,,,
ZVGNESXIJDCBKN-UHFFFAOYSA-N,Fidaxomicin,DNA/RNA Synthesis,,,
CMHHMUWAYWTMGS-UHFFFAOYSA-N,Oxybuprocaine HCl,Sodium Channel,,,
OFPXSFXSNFPTHF-UHFFFAOYSA-N,Oxaprozin,COX,2,"PTGS1, PTGS2",DTXSID1045118
QCHFTSOMWOSFHM-UHFFFAOYSA-N,Pilocarpine HCl,AChR,1,CHRM1,DTXSID1021162
FRXNXDHFQYZYNA-UHFFFAOYSA-N,Capreomycin Sulfate,Anti-infection,,,
QPFYXYFORQJZEC-UHFFFAOYSA-N,Phenazopyridine HCl,Sodium Channel,,,
WDVSHHCDHLJJJR-UHFFFAOYSA-N,Proflavine Hemisulfate,Anti-infection,,,
INDBQLZJXZLFIT-UHFFFAOYSA-N,Primaquine Diphosphate,Anti-infection,,,
YVPXVXANRNDGTA-UHFFFAOYSA-N,Cepharanthine,TNF-alpha,,,
BGEBZHIAGXMEMV-UHFFFAOYSA-N,Bergapten,DNA/RNA Synthesis,,,
HCFDWZZGGLSKEP-UHFFFAOYSA-N,Doxylamine Succinate,Histamine Receptor,,,
RLGQACBPNDBWTB-UHFFFAOYSA-N,Cetrimonium Bromide (CTAB),Anti-infection,,,
HJMATBDGCKEHQI-UHFFFAOYSA-N,Deoxycorticosterone acetate,Adrenergic Receptor,,,
QZAYGJVTTNCVMB-UHFFFAOYSA-N,Serotonin HCl,5-HT Receptor,10,"HTR2C, HTR2B, HTR3A, HTR7, CA2, CA1, HTR1A, HTR6, HTR1B, HTR2A",DTXSID8075330
AELCINSCMGFISI-UHFFFAOYSA-N,Tranylcypromine (2-PCPA) HCl,MAO,4,"MAOA, KDM1A, MAOB, CYP2C19",DTXSID2023694
ZPMNHBXQOOVQJL-UHFFFAOYSA-N,Prucalopride Succinate,5-HT Receptor,,,
ZBPLOVFIXSTCRZ-UHFFFAOYSA-N,Bromfenac Sodium,COX,,,
PTHLEKANMPKYDB-UHFFFAOYSA-N,Flopropione,5-HT Receptor,,,
VLYWMPOKSSWJAL-UHFFFAOYSA-N,Sulfamethoxypyridazine,Anti-infection,,,
HAWPXGHAZFHHAD-UHFFFAOYSA-N,Mechlorethamine HCl,DNA/RNA Synthesis,,,
WHWZLSFABNNENI-UHFFFAOYSA-N,Epinastine HCl,Histamine Receptor,,,
GPKJTRJOBQGKQK-UHFFFAOYSA-N,Quinacrine 2HCl,Phospholipase (e.g. PLA),,,
KSEYRUGYKHXGFW-UHFFFAOYSA-N,Alizapride HCl,Dopamine Receptor,,,
YTAOBBFIOAEMLL-UHFFFAOYSA-N,Luliconazole,Anti-infection,,,
SGEGOXDYSFKCPT-UHFFFAOYSA-N,Vilazodone HCl,5-HT Receptor,,,
MUTNCGKQJGXKEM-UHFFFAOYSA-N,Tamibarotene,Retinoid Receptor,,,
POOCDAFRRKDABS-UHFFFAOYSA-N,EUK 134,Beta Amyloid,,,
MJJALKDDGIKVBE-UHFFFAOYSA-N,Ebastine,Histamine Receptor,,,
BNFRJXLZYUTIII-UHFFFAOYSA-N,Efaproxiral Sodium,Others,,,
XXRVYAFBUDSLJX-UHFFFAOYSA-N,Etofibrate,Others,,,
KTXBOOWDLPUROC-UHFFFAOYSA-N,Nicaraven,Others,,,
XYLJNLCSTIOKRM-UHFFFAOYSA-N,Brimonidine Tartrate,Adrenergic Receptor,2,"ADRA2A, ADRA2C",DTXSID3045221
LPEPZBJOKDYZAD-UHFFFAOYSA-N,Flufenamic acid,Immunology & Inflammation related,,,
GBABOYUKABKIAF-UHFFFAOYSA-N,Vinorelbine Tartrate,Microtubule Associated,1,TUBB,DTXSID8040640
IHLAQQPQKRMGSS-UHFFFAOYSA-N,Oxiracetam,GABA Receptor,,,
UDIIBEDMEYAVNG-UHFFFAOYSA-N,Isepamicin Sulphate,Anti-infection,,,
KFQYTPMOWPVWEJ-UHFFFAOYSA-N,Rotigotine,Dopamine Receptor,,,
ANZXOIAKUNOVQU-UHFFFAOYSA-N,Bambuterol HCl,Adrenergic Receptor,1,ADRB2,DTXSID8045515
LWAFSWPYPHEXKX-UHFFFAOYSA-N,Carteolol HCl,Adrenergic Receptor,,,
STSZYJMXQQPUNU-UHFFFAOYSA-N,Demeclocycline HCl,Anti-infection,,,
XZTYGFHCIAKPGJ-UHFFFAOYSA-N,Meclofenoxate (Centrophenoxine) HCl,Transferase,,,
PTOIAAWZLUQTIO-UHFFFAOYSA-N,Tasimelteon,Melatonin Receptor,,,
QAGYKUNXZHXKMR-UHFFFAOYSA-N,Nelfinavir Mesylate,HIV Protease,,,
JURKNVYFZMSNLP-UHFFFAOYSA-N,Cyclobenzaprine HCl,5-HT Receptor,,,
VDANGULDQQJODZ-UHFFFAOYSA-N,Chloroprocaine HCl,Sodium Channel,,,
LUMKNAVTFCDUIE-UHFFFAOYSA-N,Ospemifene,Estrogen/progestogen Receptor,,,
JHVAMHSQVVQIOT-UHFFFAOYSA-N,Anidulafungin (LY303366),Anti-infection,,,
TTWJBBZEZQICBI-UHFFFAOYSA-N,Metoclopramide HCl,Dopamine Receptor,2,"DRD2, HTR3A",DTXSID6045169
IJJIUSOIKBRXAK-UHFFFAOYSA-N,Digoxin,Sodium Channel,2,"ABCB1, ATP1A1",DTXSID5022934
SGUAFYQXFOLMHL-UHFFFAOYSA-N,Labetalol HCl,Adrenergic Receptor,3,"ADRB1, ADRA1B, ADRB2",DTXSID2023191
OGAKLTJNUQRZJU-UHFFFAOYSA-N,Diphenidol HCl,AChR,1,CHRM2,DTXSID3022950
PWWVAXIEGOYWEE-UHFFFAOYSA-N,Promethazine HCl,Histamine Receptor,1,HRH1,DTXSID7023518
REQCZEXYDRLIBE-UHFFFAOYSA-N,Procainamide HCl,"DNA Methyltransferase,Sodium Channel",2,"SLC22A2, SLC22A1",DTXSID7023512
SBDNJUWAMKYJOX-UHFFFAOYSA-N,Meclofenamate Sodium,COX,1,PTGS1,DTXSID0048559
MINDHVHHQZYEEK-UHFFFAOYSA-N,Mupirocin,DNA/RNA Synthesis,1,ileS,DTXSID0046438
LXDGFIQSXMEGBL-UHFFFAOYSA-N,Amifostine,Others,,,
KSKRYQVHJQRUNC-UHFFFAOYSA-N,Dicoumarol,Others,1,NQO1,DTXSID8021729
METKIMKYRPQLGS-UHFFFAOYSA-N,(R)-(+)-Atenolol HCl,0,2,"ADRB2, ADRB1",DTXSID2022628
XJGFWWJLMVZSIG-UHFFFAOYSA-N,9-Aminoacridine,Others,,,
XRCFXMGQEVUZFC-UHFFFAOYSA-N,Anisindione,Others,,,
XGGHHHBGPSNXFE-UHFFFAOYSA-N,Anisotropine Methylbromide,Others,,,
SFOZKJGZNOBSHF-UHFFFAOYSA-N,Auranofin,Others,,,
NDTSRXAMMQDVSW-UHFFFAOYSA-N,Benzthiazide,Others,,,
NUEAMYZABAMKDO-UHFFFAOYSA-N,Bromocriptine Mesylate,Others,1,DRD2,DTXSID1022687
CCYHUXJZAZZHSB-UHFFFAOYSA-N,Calcium Gluceptate,Others,,,
BTFHLQRNAMSNLC-UHFFFAOYSA-N,Clorgyline HCl,Others,2,"MAOA, MAOB",DTXSID3048445
UVTNFZQICZKOEM-UHFFFAOYSA-N,Disopyramide Phosphate,Others,,,
OUZWUKMCLIBBOG-UHFFFAOYSA-N,Ethoxzolamide,Others,12,"CA4, CA9, CA14, CA3, CA1, CAR13, CA2, CA7, CA6, CA5B, CA5A, CA12",DTXSID1023021
ACGDKVXYNVEAGU-UHFFFAOYSA-N,Guanethidine Sulfate,Others,,,
HUYWAWARQUIQLE-UHFFFAOYSA-N,Isoetharine Mesylate,Others,,,
YKYBWGJKLYMCFI-UHFFFAOYSA-N,Meclocycline Sulfosalicylate,Others,,,
PYBNSXOYOSNUHV-UHFFFAOYSA-N,Medrysone,Others,,,
SLVMESMUVMCQIY-UHFFFAOYSA-N,Mesoridazine Besylate,Others,,,
LMOINURANNBYCM-UHFFFAOYSA-N,Metaproterenol Sulfate,Others,1,ADRB2,DTXSID8048529
WJAJPNHVVFWKKL-UHFFFAOYSA-N,Methoxamine HCl,Others,1,ADRA1A,DTXSID0023290
FNQQBFNIYODEMB-UHFFFAOYSA-N,Meticrane,Others,,,
WJBLNOPPDWQMCH-UHFFFAOYSA-N,Nalmefene HCl,Others,,,
FTLDJPRFCGDUFH-UHFFFAOYSA-N,Oxethazaine,Others,,,
CEMAWMOMDPGJMB-UHFFFAOYSA-N,Oxprenolol HCl,Others,,,
RCIMBBZXSXFZBV-UHFFFAOYSA-N,Piromidic Acid,Others,,,
