CAS Number,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
34381-68-5,CASRN,DTXSID5045461,Acebutolol hydrochloride,Cl.CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
99464-64-9,CASRN,DTXSID6046474,Ampiroxicam,CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)C2=CC=CC=C12)C(=O)NC1=NC=CC=C1
100643-71-8,CASRN,DTXSID1044196,Desloratadine,ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1
10163-15-2,CASRN,DTXSID70872554,Disodium monofluorophosphate,[Na+].[Na+].[O-]P([O-])(F)=O
101-31-5,CASRN,DTXSID80889335,Hyoscyamine,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
630-60-4,CASRN,DTXSID0043765,Ouabain,[H][C@@]1(O[C@H]2C[C@@H](O)[C@]3(CO)[C@@]4([H])[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@]4([H])CC[C@]3(O)C2)C2=CC(=O)OC2)O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
109-57-9,CASRN,DTXSID3024449,Allylthiourea,NC(=S)NCC=C
128-57-4,CASRN,DTXSID6051433,Sennoside B,OC[C@H]1O[C@@H](OC2=CC=CC3=C2C(=O)C2=C(C=C(C=C2O)C(O)=O)[C@H]3[C@@H]2C3=C(C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=CC=C3)C(=O)C3=C2C=C(C=C3O)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
330784-47-9,CASRN,DTXSID50186727,Avanafil,COC1=C(Cl)C=C(CNC2=NC(=NC=C2C(=O)NCC2=NC=CC=N2)N2CCC[C@H]2CO)C=C1
10040-45-6,CASRN,DTXSID7048663,Picosulfate sodium,[Na+].[Na+].[O-]S(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS([O-])(=O)=O)C=C1)C1=CC=CC=N1
134308-13-7,CASRN,DTXSID3023685,Tolcapone,CC1=CC=C(C=C1)C(=O)C1=CC(O)=C(O)C(=C1)[N+]([O-])=O
57-66-9,CASRN,DTXSID9021188,Probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
51-05-8,CASRN,DTXSID1044435,Procaine hydrochloride,Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
80-49-9,CASRN,DTXSID4023127,Homatropine methylbromide,[Br-].C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)C1=CC=CC=C1
51-56-9,CASRN,DTXSID5045099,Homatropine hydrobromide,Br.CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)C1=CC=CC=C1
2192-20-3,CASRN,DTXSID2040737,Hydroxyzine dihydrochloride,Cl.Cl.OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
3717-88-2,CASRN,DTXSID1047784,Flavoxate hydrochloride,Cl.CC1=C(OC2=C(C=CC=C2C(=O)OCCN2CCCCC2)C1=O)C1=CC=CC=C1
55203-24-2,Deleted CAS-RN,DTXSID3047429,Dexamethasone sodium phosphate,[Na+].[Na+].[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COP([O-])([O-])=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
1264-72-8,CASRN,DTXSID3045352,Colistin sulfate,N/A
1405-41-0,CASRN,DTXSID0037235,Gentamicin sulfate,N/A
320345-99-1,CASRN,DTXSID30185854,Aclidinium bromide,[Br-].[H]C12CC[N+](CCCOC3=CC=CC=C3)(CC1)C[C@@H]2OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1
81-27-6,CASRN,DTXSID1023576,Sennoside A,OC[C@H]1O[C@@H](OC2=CC=CC3=C2C(=O)C2=C(C=C(C=C2O)C(O)=O)[C@@H]3[C@@H]2C3=C(C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=CC=C3)C(=O)C3=C2C=C(C=C3O)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
62-97-5,CASRN,DTXSID9022948,Diphemanil methylsulfate,COS([O-])(=O)=O.C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1
50-14-6,CASRN,DTXSID5020233,Ergocalciferol,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)\C=C\[C@H](C)C(C)C
7081-53-0,CASRN,DTXSID60991081,"1-Ethyl-4-[2-(morpholin-4-yl)ethyl]-3,3-diphenylpyrrolidin-2-one--hydrogen chloride--water (1/1/1)",O.Cl.CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
61-12-1,CASRN,DTXSID80976471,Cinchocaine hydrochloride,Cl.CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
554-57-4,CASRN,DTXSID1023281,Methazolamide,CN1N=C(SC1=NC(C)=O)S(N)(=O)=O
68-22-4,CASRN,DTXSID9023380,Norethindrone,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
6054-98-4,CASRN,DTXSID3046796,Olsalazine sodium,[Na+].[Na+].OC1=CC=C(C=C1C([O-])=O)N=NC1=CC=C(O)C(=C1)C([O-])=O
7177-50-6,CASRN,DTXSID7045570,Nafcillin sodium monohydrate,O.[Na+].CCOC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)C2=C(C=CC=C2)C=C1
522-48-5,CASRN,DTXSID7045316,Tetrahydrozoline hydrochloride,Cl.C1CN=C(N1)C1CCCC2=C1C=CC=C2
69004-03-01,Searched by Synonym: Found 0 results,N/A,N/A,N/A
132-20-7,CASRN,DTXSID0025866,Pheniramine maleate,[O-]C(=O)\C=C/C([O-])=O.C[NH+](C)CCC(C1=CC=CC=C1)C1=CC=CC=[NH+]1
0313-06-04,Searched by Synonym: Found 0 results,N/A,N/A,N/A
603-50-9,CASRN,DTXSID1022681,Bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=NC=CC=C1
22232-54-8,CASRN,DTXSID9022736,Carbimazole,CCOC(=O)N1C=CN(C)C1=S
181695-72-7,CASRN,DTXSID6044226,Valdecoxib,CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O
175865-59-5,CASRN,DTXSID9046784,Valganciclovir hydrochloride,Cl.CC(C)[C@H](N)C(=O)OCC(CO)OCN1C=NC2=C1NC(N)=NC2=O
42924-53-8,CASRN,DTXSID4045472,Nabumetone,COC1=CC2=CC=C(CCC(C)=O)C=C2C=C1
56391-57-2,CASRN,DTXSID8045484,Netilmicin sulfate,OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CCN[C@@H]1C[C@H](N)[C@@H](OC2OC(CN)=CCC2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.CCN[C@@H]1C[C@H](N)[C@@H](OC2OC(CN)=CCC2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O
79559-97-0,CASRN,DTXSID1040243,Sertraline hydrochloride,Cl.CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=C1C=CC=C2
52-01-7,CASRN,DTXSID6034186,Spironolactone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)SC(C)=O
224452-66-8,CASRN,DTXSID00870265,Retapamulin,[H][C@@]12C(=O)CC[C@]11CC[C@@H](C)C2(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]1C)OC(=O)CS[C@H]1C[C@@H]2CC[C@H](C1)N2C
0135-07-09,Searched by Synonym: Found 0 results,N/A,N/A,N/A
132112-35-7,CASRN,DTXSID80927544,"N-(2,6-Dimethylphenyl)-1-propylpiperidine-2-carboximidic acid--hydrogen chloride--water (1/1/1)",O.Cl.[H][C@]1(CCCCN1CCC)C(O)=NC1=C(C)C=CC=C1C
13755-38-9,CASRN,DTXSID7041126,Sodium nitroprusside dihydrate,O.O.[Na+].[Na+].O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N
1264-62-6,CASRN,DTXSID4022993,Erythromycin ethylsuccinate,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
27262-48-2,CASRN,DTXSID9046071,Levobupivacaine hydrochloride,Cl.CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
7681-76-7,CASRN,DTXSID6045400,Ronidazole,CN1C(COC(N)=O)=NC=C1[N+]([O-])=O
67-97-0,CASRN,DTXSID6026294,Vitamin D3,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C
219861-08-2,CASRN,DTXSID1046003,Escitalopram oxalate,OC(=O)C(O)=O.CN(C)CCC[C@]1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1
23256-50-0,CASRN,DTXSID101017207,"2-(2,6-Dichlorobenzylidene)hydrazinecarboximidamide acetate (1:1)",CC(O)=O.NC(=N)NN=CC1=C(Cl)C=CC=C1Cl
30652-11-0,CASRN,DTXSID6040666,Deferiprone,CN1C=CC(=O)C(O)=C1C
19387-91-8,CASRN,DTXSID4023676,Tinidazole,CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O
50-01-1,CASRN,DTXSID7058757,Guanidine monohydrochloride,Cl.NC(N)=N
0126-07-08,Searched by Synonym: Found 0 results,N/A,N/A,N/A
541-22-0,CASRN,DTXSID2022886,"1,10-Decanediaminium, N,N,N,N',N',N'-hexamethyl-, dibromide",[Br-].[Br-].C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
7632-00-0,CASRN,DTXSID0020941,Sodium nitrite,[Na+].[O-]N=O
13463-41-7,CASRN,DTXSID7026314,Zinc pyrithione,[O-]1N2C=CC=CC2=[S][Zn++]11[O-]N2C=CC=CC2=[S]1
318-98-9,CASRN,DTXSID3021198,Propranolol hydrochloride,Cl.CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2
150-76-5,CASRN,DTXSID4020828,4-Methoxyphenol,COC1=CC=C(O)C=C1
61-68-7,CASRN,DTXSID5023243,Mefenamic acid,CC1=C(C)C(NC2=C(C=CC=C2)C(O)=O)=CC=C1
274693-27-5,CASRN,DTXSID901009337,Ticagrelor,CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=N1
396-01-0,CASRN,DTXSID6021373,Triamterene,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1
127-56-0,CASRN,DTXSID40889336,"Acetamide, N-[(4-aminophenyl)sulfonyl]-, sodium salt (1:1)",[Na+].CC(=O)[N-]S(=O)(=O)C1=CC=C(N)C=C1
8025-81-8,CASRN,DTXSID6045402,Spiramycin,N/A
127-47-9,CASRN,DTXSID6021240,Retinol acetate,CC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
101477-54-7,CASRN,DTXSID1046427,Lomerizine dihydrochloride,Cl.Cl.COC1=CC=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(OC)=C1OC
116209-55-3,CASRN,DTXSID20151321,Levobetaxolol hydrochloride,Cl.CC(C)NC[C@H](O)COC1=CC=C(CCOCC2CC2)C=C1
27833-64-3,CASRN,DTXSID3045227,Loxapine succinate,OC(=O)CCC(O)=O.CN1CCN(CC1)C1=NC2=C(OC3=C1C=C(Cl)C=C3)C=CC=C2
2135-17-3,CASRN,DTXSID2045365,Flumethasone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
66852-54-8,CASRN,DTXSID6046636,Halobetasol propionate,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl
07/08/5053,Searched by Synonym: Found 0 results,N/A,N/A,N/A
23210-58-4,CASRN,DTXSID50945896,Ifenprodil L-(+)-tartrate,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1.CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1
637-58-1,CASRN,DTXSID2047777,Pramoxine hydrochloride,Cl.CCCCOC1=CC=C(OCCCN2CCOCC2)C=C1
880149-29-1,CASRN,DTXSID601026431,Bismuth subcitrate potassium,[K+].[K+].[K+].[K+].[K+].[Bi+3].[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O.[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O
5086-74-8,CASRN,DTXSID101017245,Tetramisole hydrochloride,Cl.C1CN2CC(N=C2S1)C1=CC=CC=C1
23674-86-4,CASRN,DTXSID0046773,Difluprednate,[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
548-73-2,CASRN,DTXSID6022973,Droperidol,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
3093-35-4,CASRN,DTXSID6045375,Halcinonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CCl
138530-94-6,CASRN,DTXSID101044044,Dexlansoprazole,N/A
81161-17-3,CASRN,DTXSID7049003,Esmolol hydrochloride,Cl.COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
83480-29-9,CASRN,DTXSID2021442,Voglibose,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
144143-96-4,CASRN,DTXSID7044217,Eprosartan mesylate,CS(O)(=O)=O.CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O
908-54-3,CASRN,DTXSID4022945,Diminazene diaceturate,CC(=O)NCC(O)=O.CC(=O)NCC(O)=O.NC(=N)C1=CC=C(N\N=N\C2=CC=C(C=C2)C(N)=N)C=C1
61438-64-0,CASRN,DTXSID00977001,"Sodium 6-carboxy-N-{5-chloro-4-[(4-chlorophenyl)(cyano)methyl]-2-methylphenyl}-6-hydroxy-3,5-diiodocyclohexa-1,3-diene-1-carboximidate",[Na+].CC1=C(C=C(Cl)C(=C1)C(C#N)C1=CC=C(Cl)C=C1)N=C([O-])C1=CC(I)=CC(I)C1(O)C(O)=O
57808-65-8,CASRN,DTXSID6040662,Closantel,CC1=CC(C(C#N)C2=CC=C(Cl)C=C2)=C(Cl)C=C1NC(=O)C1=CC(I)=CC(I)=C1O
2030-63-9,CASRN,DTXSID7022839,Clofazimine,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=CC=CC=C3N=C2C=C1NC1=CC=C(Cl)C=C1
22560-50-5,CASRN,DTXSID3045225,Clodronic acid disodium salt,[Na+].[Na+].OP([O-])(=O)C(Cl)(Cl)P(O)([O-])=O
50-50-0,CASRN,DTXSID9022998,Estradiol benzoate,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)C1=CC=CC=C1)C=C3
343-55-5,CASRN,DTXSID60187861,Dicloxacillin sodium,[Na+].CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)C(=NO1)C1=C(Cl)C=CC=C1Cl
386750-22-7,CASRN,DTXSID70959511,Desvenlafaxine Succinate,O.OC(=O)CCC(O)=O.CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1
93413-62-8,CASRN,DTXSID40869118,O-Desmethylvenlafaxine,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1
68786-66-3,CASRN,DTXSID7043952,Triclabendazole,CSC1=NC2=C(N1)C=C(OC1=CC=CC(Cl)=C1Cl)C(Cl)=C2
541-46-8,CASRN,DTXSID3060249,"Butanamide, 3-methyl-",CC(C)CC(N)=O
51-74-1,CASRN,DTXSID7058759,1H-Imidazole-4-ethanamine phosphate (1:2),OP(O)(O)=O.OP(O)(O)=O.NCCC1=CNC=N1
56-92-8,CASRN,DTXSID1058767,"1H-Imidazole-4-ethanamine, dihydrochloride",Cl.Cl.NCCC1=CNC=N1
149676-40-4,Searched by CASRN: Found 0 results,N/A,N/A,N/A
61318-91-0,CASRN,DTXSID2045490,Sulconazole nitrate,O[N+]([O-])=O.ClC1=CC=C(CSC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
6101-15-1,CASRN,DTXSID50976488,Succinylcholine chloride dihydrate,O.O.[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
108050-54-0,CASRN,DTXSID5046011,Tilmicosin,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H]([C@H]2O)N(C)C)[C@@H](CCN2C[C@@H](C)C[C@@H](C)C2)C[C@@H](C)C(=O)\C=C\C(\C)=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
26921-17-5,CASRN,DTXSID3047504,Timolol maleate salt,OC(=O)\C=C/C(O)=O.CC(C)(C)NC[C@H](O)COC1=NSN=C1N1CCOCC1
59-97-2,CASRN,DTXSID9021718,Tolazoline hydrochloride,Cl.C(C1=NCCN1)C1=CC=CC=C1
1716-12-7,CASRN,DTXSID7040948,Sodium 4-phenylbutyrate,[Na+].[O-]C(=O)CCCC1=CC=CC=C1
79-81-2,CASRN,DTXSID1021241,Retinol palmitate,CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
23031-32-5,CASRN,DTXSID3045437,Terbutaline hemisulfate,OS(O)(=O)=O.CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1.CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1
30751-05-04,Searched by Synonym: Found 0 results,N/A,N/A,N/A
86426-17-7,Searched by CASRN: Found 0 results,N/A,N/A,N/A
99291-25-5,CASRN,DTXSID8023210,Levodropropizine,OC[C@@H](O)CN1CCN(CC1)C1=CC=CC=C1
6933-90-0,CASRN,DTXSID5046699,Clorprenaline hydrochloride,Cl.CC(C)NCC(O)C1=C(Cl)C=CC=C1
53716-49-7,CASRN,DTXSID1045871,Carprofen,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1
10402-53-6,CASRN,DTXSID1046631,Eprazinone dihydrochloride,Cl.Cl.CCOC(CN1CCN(CC(C)C(=O)C2=CC=CC=C2)CC1)C1=CC=CC=C1
17692-31-8,CASRN,DTXSID0045624,Dropropizine,OCC(O)CN1CCN(CC1)C1=CC=CC=C1
5897-18-7,Searched by CASRN: Found 0 results,N/A,N/A,N/A
0148-01-06,Searched by Synonym: Found 0 results,N/A,N/A,N/A
2971-90-6,CASRN,DTXSID8041793,Clopidol,CC1=NC(C)=C(Cl)C(O)=C1Cl
23142-01-0,CASRN,DTXSID10177717,Carbetapentane citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOCCOC(=O)C1(CCCC1)C1=CC=CC=C1
137-88-2,CASRN,DTXSID0045547,Amprolium hydrochloride,Cl.[Cl-].CCCC1=NC(N)=C(C[N+]2=CC=CC=C2C)C=N1
1405-87-4,CASRN,DTXSID8045355,Bacitracin,N/A
117772-70-0,CASRN,DTXSID80922539,Azithromycin dihydrate,O.O.[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C
7177-48-2,CASRN,DTXSID9020083,Ampicillin trihydrate,O.O.O.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
61618-27-7,CASRN,DTXSID30977216,Sodium (2-amino-3-benzoylphenyl)acetate--water (1/1/1),O.[Na+].NC1=C(CC([O-])=O)C=CC=C1C(=O)C1=CC=CC=C1
26864-56-2,CASRN,DTXSID5049021,Penfluridol,OC1(CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C(=C1)C(F)(F)F
2624-44-4,CASRN,DTXSID4045559,Ethamsylate,CCNCC.OC1=CC(=C(O)C=C1)S(O)(=O)=O
0673-06-03,Searched by Synonym: Found 0 results,N/A,N/A,N/A
95-25-0,CASRN,DTXSID9022813,Chlorzoxazone,ClC1=CC=C2OC(=O)NC2=C1
64-72-2,CASRN,DTXSID2045076,Chlortetracycline hydrochloride,Cl.CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O
50-63-5,CASRN,DTXSID7044681,Chloroquine bis(phosphate),OP(O)(O)=O.OP(O)(O)=O.CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
104376-79-6,CASRN,DTXSID5045887,Ceftriaxone disodium salt hemiheptahydrate,O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+].[H][C@]12SCC(CSC3=NC(=O)C(=O)[N-]N3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O.[H][C@]12SCC(CSC3=NC(=O)C(=O)[N-]N3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O
41859-67-0,CASRN,DTXSID3029869,Bezafibrate,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O
69-57-8,CASRN,DTXSID6040581,Penicillin G sodium,[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O
65-85-0,CASRN,DTXSID6020143,Benzoic acid,OC(=O)C1=CC=CC=C1
121-54-0,CASRN,DTXSID6023810,Benzethonium chloride,[Cl-].CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1
24390-14-5,CASRN,DTXSID4041020,Doxycycline hyclate,O.Cl.CCO.[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
69975-86-6,CASRN,DTXSID7022968,Doxofylline,CN1C2=C(N(CC3OCCO3)C=N2)C(=O)N(C)C1=O
132-69-4,CASRN,DTXSID1045293,Benzydamine hydrochloride,Cl.CN(C)CCCOC1=NN(CC2=CC=CC=C2)C2=C1C=CC=C2
94-20-2,CASRN,DTXSID9020322,Chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
66215-27-8,CASRN,DTXSID6023999,Cyromazine,NC1=NC(NC2CC2)=NC(N)=N1
108605-62-5,CASRN,DTXSID301043028,2-Cyano-3-hydroxy-N-(4-trifluoromethylphenyl)crotonamide,CC(O)=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F
91-64-5,CASRN,DTXSID7020348,Coumarin,O=C1OC2=C(C=CC=C2)C=C1
67-48-1,CASRN,DTXSID4020325,"2-Hydroxy-N,N,N-trimethylethan-1-aminium chloride",[Cl-].C[N+](C)(C)CCO
0123-03-05,Searched by Synonym: Found 0 results,N/A,N/A,N/A
36653-82-4,CASRN,DTXSID4027991,1-Hexadecanol,CCCCCCCCCCCCCCCCO
0527-07-01,Searched by Synonym: Found 0 results,N/A,N/A,N/A
57-67-0,CASRN,DTXSID1023609,Sulfaguanidine,NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1
77-86-1,CASRN,DTXSID2023723,Tromethamine,NC(CO)(CO)CO
66-22-8,CASRN,DTXSID4021424,Uracil,O=C1NC=CC(=O)N1
38083-17-9,CASRN,DTXSID6046555,Climbazole,CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=CN=C1
42057-22-7,CASRN,DTXSID60194898,Mezlocillin sodium,[Na].CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3C=CC=CC=3)C(=O)N2[C@H]1C(O)=O |^1:0|
23327-57-3,CASRN,DTXSID7045441,Nefopam hydrochloride,Cl.CN1CCOC(C2=CC=CC=C2)C2=C(C1)C=CC=C2
54527-84-3,CASRN,DTXSID9046992,Nicardipine hydrochloride,Cl.COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1
965-52-6,CASRN,DTXSID4045343,Nifuroxazide,OC1=CC=C(C=C1)C(=O)NN=CC1=CC=C(O1)[N+]([O-])=O
1263-89-4,CASRN,DTXSID5047829,Paromomycin sulfate,N/A
39809-25-1,CASRN,DTXSID9046491,Penciclovir,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2
51-24-1,CASRN,DTXSID2045232,Tiratricol,OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1
538-71-6,CASRN,DTXSID5033468,Domiphen bromide,[Br-].CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1
87-17-2,CASRN,DTXSID7021784,Salicylanilide,OC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1
552-94-3,CASRN,DTXSID1023572,Salsalate,OC(=O)C1=C(OC(=O)C2=C(O)C=CC=C2)C=CC=C1
456-59-7,CASRN,DTXSID4022862,Cyclandelate,CC1CC(CC(C)(C)C1)OC(=O)C(O)C1=CC=CC=C1
3440-28-6,CASRN,DTXSID0045626,Betamipron,OC(=O)CCNC(=O)C1=CC=CC=C1
72-80-0,CASRN,DTXSID3048998,"5,7-Dichloro-8-hydroxy-2-methylquinoline",CC1=CC=C2C(Cl)=CC(Cl)=C(O)C2=N1
521-74-4,CASRN,DTXSID9045849,Broxyquinoline,OC1=C2N=CC=CC2=C(Br)C=C1Br
6402-23-9,CASRN,DTXSID0046274,Ethacridine lactate hydrate,O.CC(O)C(O)=O.CCOC1=CC2=C(N)C3=C(C=C(N)C=C3)N=C2C=C1
64-65-3,CASRN,DTXSID0045250,Bemegride,CCC1(C)CC(=O)NC(=O)C1
